product_name,price,rating,stock_status,product_url,scraped_at
Norwegian 70s Vintage Retro Stripes iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Norwegian-70s-Vintage-Retro-Stripes-by-Deutschic/100490713/3bp7,2026-08-05T12:10:35.033817
BE A NICE HUMAN. iPhone Tough Case,$35.51,N/A,In Stock,https://www.redbubble.com/i/iphone-case/BE-A-NICE-HUMAN-by-MadEDesigns/27956639/3bp7,2026-08-05T12:10:35.096100
Blue bird in chinoiserie garden iPhone Tough Case,$45.14,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Blue-bird-in-chinoiserie-garden-by-SophieClimaArt/160962907/3bp7,2026-08-05T12:10:35.149489
Bird Fanatic iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Bird-Fanatic-by-LadyElizabeth/14979190/3bp7,2026-08-05T12:10:35.203652
matisse's goldfish and a cat iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/matisse-s-goldfish-and-a-cat-by-mfarmand/38812460/3bp7,2026-08-05T12:10:35.255687
Kawaii Kuro Neko Ramen Run iPhone Tough Case,$35.81,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Kawaii-Kuro-Neko-Ramen-Run-by-retro-typo/169963435/3bp7,2026-08-05T12:10:35.306354
The Muppets iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Muppets-by-shaohadran/182586257/3bp7,2026-08-05T12:10:35.361817
Cute cats' cafe and the pink cherry trees blossom iPhone Tough Case,$40.62,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Cute-cats-cafe-and-the-pink-cherry-trees-blossom-by-AnGoArt/155349879/3bp7,2026-08-05T12:10:35.416713
Forlorn Frog in Fall iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Forlorn-Frog-in-Fall-by-hwainio/61044721/3bp7,2026-08-05T12:10:35.483638
80's Eighties Transparent Translucid Conairphone Neon Brights iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/80-s-Eighties-Transparent-Translucid-Conairphone-Neon-Brights-by-estellef/43738452/3bp7,2026-08-05T12:10:35.547464
Monochrome blue watercolour shark ocean on black iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Monochrome-blue-watercolour-shark-ocean-on-black-by-adenaJ/150589931/3bp7,2026-08-05T12:10:35.606419
British Red Phone box with Big Ben iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/British-Red-Phone-box-with-Big-Ben-by-JohnE/11001282/3bp7,2026-08-05T12:10:35.705087
Gustav Klimt Gold Garden iPhone Tough Case,$42.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Gustav-Klimt-Gold-Garden-by-maniacfitness/165174710/3bp7,2026-08-05T12:10:35.772163
Sword cat iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Sword-cat-by-hellocloudy/139304353/3bp7,2026-08-05T12:10:35.830067
Vintage Glamour Burgundy Damask iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Vintage-Glamour-Burgundy-Damask-by-MysticMarble/60159709/3bp7,2026-08-05T12:10:35.888735
Hidden Dinosaurs - Floral Pattern - Teal and Silver iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Hidden-Dinosaurs-Floral-Pattern-Teal-and-Silver-by-tanimator/56039833/3bp7,2026-08-05T12:10:35.948741
Cozy Crone iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Cozy-Crone-by-brettisagirl/54097861/3bp7,2026-08-05T12:10:36.004629
Trooper iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Trooper-by-MConnorArt/182289548/3bp7,2026-08-05T12:10:36.066406
Wolf II iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Wolf-II-by-rizapeker/21599621/3bp7,2026-08-05T12:10:36.122353
