product_name,price,rating,stock_status,product_url,timestamp
Hidden Dinosaurs - Floral Pattern - Teal and Silver iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Hidden-Dinosaurs-Floral-Pattern-Teal-and-Silver-by-tanimator/56039833/3bp7,2026-08-05T12:03:30.290955
Returns To Theaters Retro Movie Poster iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Returns-To-Theaters-Retro-Movie-Poster-by-Ardonaredb/182481414/3bp7,2026-08-05T12:03:30.337660
Cozy Crone iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Cozy-Crone-by-brettisagirl/54097861/3bp7,2026-08-05T12:03:30.384328
Wolf II iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Wolf-II-by-rizapeker/21599621/3bp7,2026-08-05T12:03:30.428173
Flowing Petals iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Flowing-Petals-by-Malichyte/182037012/3bp7,2026-08-05T12:03:30.486629
Blue Ocean Waves iPhone Tough Case,$42.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Blue-Ocean-Waves-by-AlexandraStr/22372528/3bp7,2026-08-05T12:03:30.536802
The Double Sunset... iPhone Tough Case,$40.32,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Double-Sunset-by-rorkstarmason/24442066/3bp7,2026-08-05T12:03:30.589049
Florals...for Spring iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Florals-for-Spring-by-alyssakorea/14763226/3bp7,2026-08-05T12:03:30.638832
Chicken and Chick - pastel iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Chicken-and-Chick-pastel-by-pikaole/51183561/3bp7,2026-08-05T12:03:30.693595
A Frog and His Son iPhone Tough Case,$42.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/A-Frog-and-His-Son-by-DingHuArt/57352076/3bp7,2026-08-05T12:03:30.745196
Stay Positive iPhone Tough Case,$40.62,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Stay-Positive-by-stevenrhodes/79299073/3bp7,2026-08-05T12:03:30.794142
Gustav Klimt Flowers iPhone Tough Case,$42.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Gustav-Klimt-Flowers-by-maniacfitness/158528025/3bp7,2026-08-05T12:03:30.842858
80's Eighties Transparent Translucid Conairphone Neon Brights Keypad iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/80-s-Eighties-Transparent-Translucid-Conairphone-Neon-Brights-Keypad-by-estellef/43739336/3bp7,2026-08-05T12:03:30.892838
G3 iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/G3-by-Koleidescope/172277783/3bp7,2026-08-05T12:03:30.941241
Slime Orange VHS Rug Rats iPhone Tough Case,$42.13,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Slime-Orange-VHS-Rug-Rats-by-mud1017/32801422/3bp7,2026-08-05T12:03:30.988872
"Solid Black Duvet Cover - Noir Bedspread - Plain Skirt, Cushion Socks iPhone Tough Case",$33.64,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Solid-Black-Duvet-Cover-Noir-Bedspread-Plain-Skirt-Cushion-Socks-by-deanworld/18868132/3bp7,2026-08-05T12:03:31.034553
"Starry Ocean, teal sailboat watercolor sea waves night iPhone Tough Case",$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Starry-Ocean-teal-sailboat-watercolor-sea-waves-night-by-VApinx/25925977/3bp7,2026-08-05T12:03:31.077175
Adventure Time™ end credits pattern iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Adventure-Time-end-credits-pattern-by-crumpsticks/42603988/3bp7,2026-08-05T12:03:31.122776
Bat - dark iPhone Tough Case,$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Bat-dark-by-pikaole/62669138/3bp7,2026-08-05T12:03:31.170397
Fox and Wisps Under the Moon and Maple Leaves iPhone Tough Case,$37.91,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Fox-and-Wisps-Under-the-Moon-and-Maple-Leaves-by-TeaKitsune/12824144/3bp7,2026-08-05T12:03:31.218562
"Blue Clouds, Blue Moon iPhone Tough Case",$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Blue-Clouds-Blue-Moon-by-va103/14709666/3bp7,2026-08-05T12:03:31.261072
"""color pool"" (2025) - raw print iPhone Tough Case",$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/color-pool-2025-raw-print-by-subisdesigns/182645258/3bp7,2026-08-05T12:03:31.307325
Hot Pink and Orange Stripes iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Hot-Pink-and-Orange-Stripes-by-OneThreeSix/117288916/3bp7,2026-08-05T12:03:31.351999
The Great Solar War iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/The-Great-Solar-War-by-Space-Command/182066165/3bp7,2026-08-05T12:03:31.393288
Flowery Books and Tea iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Flowery-Books-and-Tea-by-ohjessmarie/45047382/3bp7,2026-08-05T12:03:31.437198
"80s 90s Y2k Clear Effect Phone Case – Retro Tech, Y2K Electronics Design, Conairphone iPhone Tough Case",$39.12,N/A,In Stock,https://www.redbubble.com/i/iphone-case/80s-90s-Y2k-Clear-Effect-Phone-Case-Retro-Tech-Y2K-Electronics-Design-Conairphone-by-estellef/180535737/3bp7,2026-08-05T12:03:31.482583
Cassette Gold (Phone Case) iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Cassette-Gold-Phone-Case-by-maximiliansan/28067295/3bp7,2026-08-05T12:03:31.526493
Calvin and Hobbes Stars iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Calvin-and-Hobbes-Stars-by-haychis/80978620/3bp7,2026-08-05T12:03:31.569900
Space Turtles iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Space-Turtles-by-Vierkant/12749033/3bp7,2026-08-05T12:03:31.618239
Trooper iPhone Tough Case,$33.10,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Trooper-by-MConnorArt/182289548/3bp7,2026-08-05T12:03:31.660927
Black and White Tortoiseshell Pattern iPhone Tough Case,$45.74,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Black-and-White-Tortoiseshell-Pattern-by-trajeado14/162795659/3bp7,2026-08-05T12:03:31.707820
black leopard print iPhone Tough Case,$36.11,N/A,In Stock,https://www.redbubble.com/i/iphone-case/black-leopard-print-by-gossiprag/48950734/3bp7,2026-08-05T12:03:31.754634
Glitterwolf Acrylic Painting iPhone Tough Case,$37.61,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Glitterwolf-Acrylic-Painting-by-cloudsover31/26160761/3bp7,2026-08-05T12:03:31.800825
"If you were anything, you'd be stars iPhone Tough Case",$35.51,N/A,In Stock,https://www.redbubble.com/i/iphone-case/If-you-were-anything-you-d-be-stars-by-TuesdayLately/182361037/3bp7,2026-08-05T12:03:31.842449
Too Many Birds! Bird Squad Classic iPhone Tough Case,$36.41,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Too-Many-Birds-Bird-Squad-Classic-by-MaddeMichael/24131039/3bp7,2026-08-05T12:03:31.891426
Fireflies iPhone Tough Case,$51.15,N/A,In Stock,https://www.redbubble.com/i/iphone-case/Fireflies-by-katherineblower/79658965/3bp7,2026-08-05T12:03:31.937973
